2,1,1695.04,389.93,146.43,338.81,-1,1,-1
2,2,262.94,458.26,93.66,250.13,-1,1,-1
2,3,-11.19,323.51,120.29,578.22,-1,1,-1
2,4,111.02,511.68,86.36,231.06,-1,1,-1
2,6,1249.89,536.13,57.82,116.74,-1,1,-1
2,8,1296.05,454.53,64.13,198.07,-1,1,-1
3,1,1688.00,391.20,146.87,340.15,-1,1,-1
3,2,264.54,458.75,92.88,248.42,-1,1,-1
3,3,-2.36,318.37,121.65,584.44,-1,1,-1
3,4,110.44,517.89,84.70,226.72,-1,1,-1
3,6,1255.26,542.95,54.50,110.06,-1,1,-1
3,8,1299.41,454.70,64.39,198.35,-1,1,-1
3,9,1880.00,387.26,39.00,195.00,-1,1,-1
4,1,1687.52,390.97,147.55,341.95,-1,1,-1
4,2,264.57,459.70,92.62,247.90,-1,1,-1
4,3,-1.27,300.40,127.54,613.29,-1,1,-1
4,4,112.39,515.74,85.42,228.63,-1,1,-1
4,6,1258.83,552.98,49.64,100.06,-1,1,-1
4,8,1303.21,461.65,61.72,189.97,-1,1,-1
4,9,1879.85,385.41,39.30,196.56,-1,1,-1
5,1,1689.60,387.98,149.61,346.84,-1,1,-1
5,2,264.97,460.00,92.37,247.79,-1,1,-1
5,3,0.87,260.37,137.14,659.01,-1,1,-1
5,4,112.01,519.32,84.00,224.92,-1,1,-1
5,6,1262.88,556.50,48.21,97.32,-1,1,-1
5,8,1304.81,469.95,59.73,183.43,-1,1,-1
5,9,1880.06,378.78,41.15,206.93,-1,1,-1
6,1,1688.17,389.11,149.86,348.41,-1,1,-1
6,2,267.98,460.09,91.48,246.35,-1,1,-1
6,3,6.11,245.80,140.91,673.40,-1,1,-1
6,4,112.94,516.80,84.98,228.09,-1,1,-1
6,6,1263.63,551.37,51.51,104.90,-1,1,-1
6,8,1306.98,470.28,59.89,183.67,-1,1,-1
6,9,1878.62,375.95,41.91,211.70,-1,1,-1
7,1,1685.87,387.47,150.85,352.32,-1,1,-1
7,2,270.20,460.10,90.88,246.58,-1,1,-1
7,3,7.42,236.50,143.26,681.03,-1,1,-1
7,4,114.07,517.97,82.98,222.23,-1,1,-1
7,6,1267.03,545.56,54.50,112.87,-1,1,-1
7,8,1310.03,467.41,62.21,189.53,-1,1,-1
7,9,1876.10,374.41,42.65,215.28,-1,1,-1
8,1,1687.20,385.55,153.12,358.40,-1,1,-1
8,2,272.93,459.40,90.13,247.39,-1,1,-1
8,3,8.33,233.10,144.89,684.29,-1,1,-1
8,4,111.96,514.83,85.17,228.55,-1,1,-1
8,6,1271.21,543.35,54.25,113.83,-1,1,-1
8,8,1311.05,462.89,65.00,195.76,-1,1,-1
8,9,1874.71,373.99,43.19,217.74,-1,1,-1
9,1,1687.30,385.54,152.84,359.18,-1,1,-1
9,2,275.69,459.83,88.25,246.34,-1,1,-1
9,3,9.94,234.51,145.91,682.72,-1,1,-1
9,4,111.52,513.03,86.00,231.48,-1,1,-1
9,6,1272.47,541.12,55.22,117.53,-1,1,-1
9,8,1314.71,459.15,65.98,196.73,-1,1,-1
9,9,1872.67,373.95,43.77,219.82,-1,1,-1
10,1,1687.17,392.29,149.09,351.28,-1,1,-1
10,2,277.34,461.34,85.48,242.58,-1,1,-1
10,3,11.36,236.97,147.00,680.09,-1,1,-1
10,4,112.56,504.94,86.59,233.93,-1,1,-1
10,6,1274.40,540.29,56.45,122.19,-1,1,-1
10,8,1325.33,467.11,63.09,189.02,-1,1,-1
10,9,1871.22,375.37,44.08,219.76,-1,1,-1
11,1,1686.45,390.14,149.75,354.24,-1,1,-1
11,2,280.31,465.95,81.62,235.11,-1,1,-1
11,3,13.09,232.41,149.35,680.52,-1,1,-1
11,4,112.66,503.80,86.80,234.48,-1,1,-1
11,6,1276.57,538.68,56.46,123.92,-1,1,-1
11,8,1330.70,470.11,60.98,184.03,-1,1,-1
11,9,1869.95,375.33,45.05,222.25,-1,1,-1
12,1,1685.54,387.35,151.35,358.61,-1,1,-1
12,2,281.90,466.87,80.98,233.28,-1,1,-1
12,3,13.84,233.06,151.11,677.58,-1,1,-1
12,4,109.38,491.89,91.00,247.62,-1,1,-1
12,6,1278.15,528.24,59.34,133.04,-1,1,-1
12,8,1331.66,471.15,60.53,183.62,-1,1,-1
12,9,1867.98,374.70,46.47,227.05,-1,1,-1
12,10,1301.00,490.00,75.00,170.00,-1,1,-1
